id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
1,次の文は、曲率のある管材（エルボ部）の厚さ測定の内外周探傷ピッチについて述べたものである。正しいものを一つ選び、記号で答えよ。,エルボ部内周部と外周部は同じ探傷ピッチで行う。,エルボ部内周部は外周部より探傷ピッチを大きくする。,エルボ部外周部は内周部より探傷ピッチを大きくする。,エルボ部外周部も内周部も曲率のない直管と同じ探傷ピッチで行う。,b,エルボ部内周部は外周部より探傷ピッチを大きくする。減肉の著しい部位、すなわち外周部（背側）の管軸方向の曲管部中央付近及びやや下流側の位置を細ピッチで測定するのがよい。
2,次の文は、超音波探傷試験を行う目的について述べたものである。適切なものを一つ選び、記号で答えよ。,製品の破損防止のために、超音波探傷試験を行う。,製品の品質保証のために、超音波探傷試験を行う。,製品の価格を上げるために、超音波探傷試験を行う。,製品を安価に提供するために、超音波探傷試験を行う。,b,品質保証は、最終出荷物の品質を保証するために、規格や客先仕様などで決められた試験方法・判定基準などに基づき実施される。
3,次の文は、JIS Z 2305に基づく超音波探傷試験技術者レベル2の役割について述べたものである。正しいものを一つ選び、記号で答えよ。,日常、レベル1技術者に対して訓練・指導する責任はあるが、新しく資格を取得したレベル2技術者に対して訓練・指導を行ってはならない。,レベル2技術者は、超音波探傷試験方法の適用限界を決定することはできない。,レベル2技術者は、超音波探傷試験を実施するか、又はレベル1技術者が実施する超音波探傷試験を監督しなければならない。,超音波探傷試験結果を取りまとめて報告し、超音波探傷試験設備と職員についての全責任を持たなければならない。,c,レベル2技術者は、NDTを実施し、監督する。レベル2又はそれより下のレベルの全ての作業を実施し、監督する。
4,次の文は、超音波探傷試験における用語について述べたものである。正しいものを一つ選び、記号で答えよ。,板波は、薄い板状の固体を伝搬する波で、対称モードと非対称モードに分類され、モードが異なっても位相速度及び群速度は同じである。,SH波は、振動方向が試験体の表面と直角な横波で、一般的な斜角探傷試験に用いられる。,ガイド波は、細長い材料中を長手方向に探傷面と平行方向に伝搬する超音波で、長い配管の探傷に用いられる。,SV波は、振動方向が試験体の表面に垂直な面内で振動する横波で、特殊な超音波斜角探傷に用いる。,c,ガイド波は、パイプを軸方向に長距離伝搬する波である。パイプの内外面を境界として発生する波であり、減衰が少なく広範囲の検査が可能である。
5,次の文は、JIS Z 3060の適用範囲について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060では、厚さ6mm以上のフェライト系の鋼の完全溶込み溶接部の超音波探傷試験方法及び分類方法を規定している。,オーステナイト系ステンレス鋼溶接部の超音波探傷では、JIS Z 3060をそのまま適用することができる。,JIS Z 3060では、厚さ13mm以上のフェライト系の鋼及びオーステナイト系の鋼の完全溶込み溶接部の垂直探傷について規定している。,JIS Z 3060では、厚さ6mm以上のフェライト系の鋼の完全溶込み溶接部の自動探傷についても規定している。,a,JIS Z 3060の適用範囲では、厚さ6mm以上のフェライト系鋼の完全溶込み溶接部を規定している。
6,次の文は、JIS Z 3060に規定する超音波探傷装置の測定、調整及び点検について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060では、探傷器の定期点検は探傷作業の開始時のみ実施する。,JIS Z 3060では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は作業開始時にのみ行う。,JIS Z 3060では、探傷器の定期点検は、6か月に1回実施する。,JIS Z 3060では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は、作業開始時と4時間以内ごと及び作業終了時に行う。,d,JIS Z 3060では、入射点、STB屈折角、測定範囲及び探傷感度は、作業開始時に測定及び調整し、作業開始後4時間以内ごと及び作業終了時に点検する。
7,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,周波数を高くすると、音響インピーダンスは小さくなる。,音響インピーダンスは、屈折角の計算に使用する。,音響インピーダンスは、密度と音速の積である。,音響インピーダンスは、2つの媒質の間の反射率である。,c,音響インピーダンス(Z)＝ρC（ρ：密度、C：音速）で求まる。
8,次の文は、音響インピーダンスと音圧反射率について述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、音速と質量の積で表わされる。,低炭素鋼溶接部の母材と溶着金属のように、音響インピーダンスの値にあまり差のない場合には、その境界面では超音波がほとんど反射しない。,音響インピーダンスは、音圧反射率と無関係である。,音響インピーダンスの大きく異なる二つの物質の境界面に、超音波が垂直に入射すると、音圧反射率は、ほとんど0％になる。,b,音響インピーダンスにあまり差のない場合には境界面での反射はほとんど起こらない。
9,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、比重と音速の積で表わされる。,音響インピーダンスは、密度と音速の積で表わされる。,音響インピーダンスは、波長と密度の積で表わされる。,音響インピーダンスは、振動数と比重の積で表わされる。,b,音響インピーダンス(Z)＝ρC（ρ：密度、C：音速）で求まる。
10,"次の文は、音圧反射率について述べたものである。片側に銅をクラッドした鋼板を鋼の側から周波数5MHzの探触子で垂直探傷した。境界面における音圧反射率は何％となるか。鋼：音速5,900m/s、密度7.8g/cm³、銅：音速4,700m/s、密度8.9g/cm³",2.4,2.9,4.8,9.6,c,音圧反射率＝(Z2－Z1)/(Z1＋Z2)より計算すると約4.8％となる。
11,全没水浸法で各種の材質の試験体を垂直探傷した。表面エコー高さが最大の試験体はどれか。水：1.5×10⁶、アクリル樹脂：3.2×10⁶、アルミニウム：16.9×10⁶、鋼：45.4×10⁶、銅：41.8×10⁶ kg/m²S,鋼,アクリル樹脂,銅,アルミニウム,a,表面エコーは音響インピーダンスが最も大きい鋼が最大となる。
12,"局部水浸法で厚さ30mmの鋼板を垂直探傷し、表面エコー高さを100％に調整したときの第1回底面エコー高さは何％となるか。材料中の減衰及び音場の拡散は考慮しない。鋼材密度7.8g/cm³、縦波音速5,920m/s、水の密度1g/cm³、音速1,480m/s",6,12,13,94,c,音圧往復通過率から計算すると約13％となる。
13,次の文は、水から鋼に超音波が入射するときの現象に関する記述である。正しいものを一つ選び、記号で答えよ。,水から鋼に垂直に入射した場合、水中では横波は伝搬しないため、境界面での反射は生じない。,水から鋼に斜めに入射した場合、水中では横波は伝搬しないため、鋼中に横波は伝搬しない。,縦波臨界角より大きな角度で水から鋼に斜め入射した場合、鋼中には横波だけが伝搬する。,水中の音速は鋼中の横波音速より小さいため、横波臨界角は存在しない。,c,縦波臨界角と横波臨界角の間で超音波が入射すると、屈折横波だけが伝搬する。
14,次の文は、超音波探傷における波長の影響について述べたものである。正しいものを選べ。,波長が長いほど、小さいきずを見つけやすい。,波長が短いほど、金属中における散乱減衰が大きくなる。,波長が短いほど、近距離音場限界距離は短くなる。,波長が長いほど、指向角は小さくなる。,b,波長が短いほど金属中における散乱減衰が大きくなる。
15,試験周波数と振動子直径が同じ垂直探触子で、縦波の探触子と横波の探触子の指向角と近距離音場限界距離について述べたものである。正しいものを一つ選び、記号で答えよ。,横波の探触子に比べて、縦波の探触子の方が指向角は大きく、近距離音場限界距離は長い。,横波の探触子に比べて、縦波の探触子の方が指向角は小さく、近距離音場限界距離は長い。,横波の探触子に比べて、縦波の探触子の方が指向角は大きく、近距離音場限界距離は短い。,横波の探触子に比べて、縦波の探触子の方が指向角は小さく、近距離音場限界距離は短い。,c,縦波λ＞横波λのため、指向角は縦波の方が大きく、近距離音場限界距離は縦波の方が短い。
16,次の文は、超音波の伝達特性について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷面が粗い試験体では平滑な試験体に比べ、他の条件が同じ場合であっても、きずエコー高さは低くなる。,標準試験片のように表面が平滑な試験片では、接触媒質の種類を変えると、エコー高さは大きく異なる。,標準試験片のように表面が平滑な試験片の垂直探傷では、接触媒質層の厚さの変動によるエコー高さの差は少ない。,探傷面が粗い試験体の超音波探傷では、周波数が低い方が感度の低下量は大きくなる。,a,探傷面が粗い試験体では、平滑な試験体に比べて感度の低下量が大きくなり、きずエコー高さは低くなる。
17,次の文は、縦波と横波について述べたものである。正しいものを一つ選び、記号で答えよ。,横波は、せん断波とも呼ばれている。,グリセリンペーストを用いれば横波垂直探触子から発生した横波を直接試験体中に伝搬させることができる。,横波垂直探触子では縦波と横波が同時に発生している。,横波垂直探触子から発生する横波は、縦波からのモード変換によって試験体中に伝搬している。,a,横波は、せん断波とも呼ばれている。横波垂直探触子は横方向に振動する圧電素子で横波を発生する。
18,次の文は、表面波について述べたものである。正しいものを一つ選び、記号で答えよ。,表面波とは、水浸法において試験体表面で反射された波のことである。,鋼中の表面波の音速は、横波の音速に近く、その約0.9倍である。,表面波の振動方向は、縦波と同一である。,表面波は物体の表面に沿って伝搬する波であり、表面に開口した割れが存在すると超音波は100％反射される。,b,表面波の音速は鋼の場合2980m/sであり、横波3230m/sのおよそ0.9倍となる。
19,次の文は、鋼板の板波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,厚さ3mm程度の薄板の探傷には、板波が利用される。,板波を発生させるには、SH波探触子を使用する。,板波には、対称モードと非対称モードがあるが、それぞれ異なった一定の音速であるので、入射角を変化させていずれかのモードにして探傷する。,板波探傷には、板波探傷用の特殊な接触媒質を使用する。,a,板波は、主に薄板中を伝搬させる波として使用される。
20,"水浸法で鋼材を周波数5MHzの探触子で垂直探傷を行なった。この時の鋼材表面における音圧反射率は何％となるか。炭素鋼：音速5,900m/s、密度7.9g/cm³、水：音速1,480m/s、密度1.0g/cm³",0.9,88.0,93.8,96.8,c,音圧反射率＝(Z2－Z1)/(Z1＋Z2)より計算すると約93.8％となる。
21,アクリル樹脂と鋼との平らな境界面にアクリル樹脂側から縦波超音波が斜め入射した場合について述べたものである。入射角が縦波臨界角より小さい場合、鋼中にはどの波が伝搬するか。,鋼中には屈折横波だけが伝搬する。,鋼中には屈折縦波だけが伝搬する。,鋼中には屈折縦波と屈折横波が伝搬する。,鋼中には屈折縦波も屈折横波も伝搬しない。,c,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波、屈折横波の両方が伝搬する。
22,アクリル樹脂と鋼との平らな境界面にアクリル樹脂側から縦波超音波が斜め入射した場合について述べたものである。入射角が縦波臨界角と横波臨界角の間にある場合、鋼中にはどの波が伝搬するか。,鋼中には屈折縦波だけが伝搬する。,鋼中には屈折横波だけが伝搬する。,鋼中には屈折縦波と屈折横波が伝搬する。,鋼中には屈折縦波も屈折横波も伝搬しない。,b,入射角が縦波臨界角と横波臨界角の間にある場合、横波だけが伝搬する。
23,"水浸法で鋼材を探傷するとき、鋼材への入射角を14.5°にすると、鋼中縦波の屈折角は何度となるか。鋼中縦波音速5,900m/s、横波音速3,230m/s、水中音速1,480m/s",14.5,27.2,33.1,86.5,d,スネルの法則より、sin14.5°/1480＝sinθL/5900で計算するとθL≒86.5°となる。
24,"5Z10×10A70(STB屈折角70.0°)の探触子でアルミニウムを超音波探傷するとき、その屈折角は何度になるか。鋼中縦波音速5,920m/s、横波音速3,255m/s、アルミニウム中縦波音速6,260m/s、横波音速3,080m/s",29.4,62.8,70.0,83.3,b,スネルの法則より計算するとθAL＝62.8°となる。
25,"板厚25mmのアルミニウム合金の突合せ溶接部を5Z10×10A70（STB屈折角71.0度）を用いて探傷した。この探触子のアルミニウム合金中の屈折角は何度となるか。アルミニウム合金中縦波音速6,380m/s、横波音速3,150m/s、STB-A1縦波音速5,900m/s、横波音速3,230m/s",30.3,67.2,71.0,75.8,b,θAL＝sin⁻¹(sin71.0°×3150/3230)＝67.2°となる。
26,鋼中で横波が裏面などの平面に入射角が30度で斜めに入射したとき、縦波の反射角は何度であるか。鋼中縦波音速5900m/s、横波音速3230m/s,16,30,60,66,d,縦波反射角βL＝sin⁻¹(sin30°×5900/3230)≒66°となる。
27,鋼材中で、横波超音波が直角な角に入射角68°で入射するとき、2回の反射による音圧反射率を求めると何％となるか。,13,20,42,83,c,コーナー部の反射では底面及び端面で2回反射が起こる。68°の入射角で入射した場合、端面での入射角は22°となり、音圧反射率は約42％となる。
28,5Z10×10A70、5Z10×10A65、5Z10×10A60及び5Z10×10A45の4個の探触子を用いてRB-41AのNo.1の1/2tの深さにある標準穴を1回反射法で狙ったときのエコー高さが40％になるよう感度を調整した。STB-A2のφ4mm、深さ4mmの標準穴を1回反射法で狙ったとき、最も高いエコー高さが得られるのはどの探触子か。,5Z10×10A70,5Z10×10A65,5Z10×10A60,5Z10×10A45,d,45°探触子はコーナーでモード変換しないので100％の反射となり、最もエコー高さが高くなる。
29,次の文は、遅れエコーについて述べたものである。正しいものを一つ選び、記号で答えよ。,円柱材の試験体を側面から垂直探傷したとき、モード変換が原因で遅れエコーが現われる。,遅れエコーは、指向角が鋭いほど発生しやすい。,幅の広い試験体を垂直探傷した場合、底面エコーの後に一定間隔で遅れエコーが現われる。,幅が狭く長い試験体を長手方向に垂直探傷し、きずエコーを検出した場合、きずからの遅れエコーが発生する場合がある。,d,超音波ビームが側面にあたってモード変換を起こすと、速度の遅い横波で伝搬するため、必ず底面エコーよりも遅れて受信される。
30,図1の鋼製の試験体を、探触子2Z20Nを用いて垂直探傷した。図2は、図1の探触子位置で現れた探傷図形を示したものである。正しいものを一つ選び、記号で答えよ。測定範囲は250mm、探傷部分にきずはない。,(a),(b),(c),(d),c,遅れエコーの問題である。試験体幅30mmを横波が横切る場合、底面エコーより一定間隔で遅れた位置にエコーが現れる。
31,次の文は、円柱面エコーの発生原因について述べたものである。正しいものを一つ選び、記号で答えよ。,探触子の接触面積が大きくなり、指向角が小さくなった。,探触子の接触面積が大きくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が小さくなった。,c,丸棒の側面に探触子を接触させると接触面積が小さくなるため、指向角が大きくなり円柱面エコーが発生しやすくなる。
32,次の超音波探触子のうち、一般的によく使用されているものを一つ選び、記号で答えよ。,水晶,ファインセラミックス,ジルコンチタン酸鉛,ニオブ酸リチウム,c,ジルコンチタン酸鉛系の振動子は、感度が高く、多くの探触子に採用されている。
33,次の文は、超音波パルスの発生について述べたものである。正しいものを一つ選び、記号で答えよ。,パルスの発生は、連続波が使用される。,パルスの発生は、三角波が使用される。,パルスの発生は、低周波が使用される。,パルスの発生は、矩形波が使用される。,d,超音波パルスの発生には、矩形波（くけいは）が使用されている。
34,次の文は、正方形の探触子を有する斜角探触子の指向角について述べたものである。正しいものを一つ選び、記号で答えよ。,5Z10×10A70の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,5Z10×10A70の場合、鋼の試験体中では上下方向に比べて、左右方向の指向角が小さい。,5Z10×10A70の場合、鋼の試験体中では左右方向に比べて、上下方向の指向角が小さい。,5Z10×10A45の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,b,斜角探触子の場合、見掛けの振動子の大きさは左右方向では変わらないが、上下方向が小さくなるため、左右方向の指向角の方が小さくなる。
35,次の文は、近距離音場について述べたものである。正しいものを一つ選び、記号で答えよ。,垂直探傷において、きずが近距離音場限界距離X₀より近い距離にあるときは、X₀より遠距離にある同じ条件のきずのエコー高さより必ず高い。,近距離音場にあるきずは、音場が乱れているので検出できないことが多い。,垂直探傷において、きずがX₀より近い距離にある場合、X₀より遠い距離にある同じ条件のきずエコー高さより低いことがある。,近距離音場、遠距離音場にかかわらず、超音波は距離の2乗に反比例して弱くなるため、距離が遠くなるに従って同じ大きさのきずでもきずエコー高さは小さくなる。,c,X₀より近い範囲では超音波の音場は複雑に変化するため、エコー高さが低いこともある。
36,鍛鋼品を2Z20Nで垂直探傷し、ビーム路程205mmのところにきずを検出した。このビーム路程を規準化距離に換算すると、nはいくらになるか。鋼中縦波音速5900m/s,2.4,4.8,6.0,6.5,c,近距離音場限界距離X₀＝D²/4λ＝400/(4×2.95)＝33.9mm、n＝χF/χ₀＝205/33.9＝6.0となる。
37,次の文は、超音波探傷試験における周波数の選定について述べたものである。正しいものを一つ選び、記号で答えよ。,薄板の探傷には、高い周波数が適している。,遠距離分解能は、低い周波数が優れている。,減衰の小さい試験体の底面に近いきずを検出するには、低い周波数が適している。,林状エコーが探傷の支障になるときは高い周波数を使用する。,a,薄板の探傷には高い周波数が適している。林状エコーが支障になる場合は低い周波数が適している。
38,次の文は、超音波の減衰や損失について述べたものである。正しいものを選べ。,試験体中を超音波が伝搬するとき、超音波ビームは広がりながら伝搬するため次第に弱くなる。これを散乱減衰という。,金属中を超音波が伝搬するとき、その結晶粒界で反射や屈折が起こり超音波は次第に弱まる。これを散乱減衰という。,試験体に超音波が入射するとき、探触子と探傷面との境界面で超音波の損失がある。これを反射損失という。,金属中を超音波が伝搬するとき、その結晶粒界で反射や屈折が起こり超音波は次第に弱まる。これを拡散減衰という。,b,金属中の結晶粒界で超音波が散乱されることによる減衰を、散乱減衰という。
39,次の文は、超音波の減衰や損失について述べたものである。正しいものを一つ選び、記号で答えよ。,超音波が試験体中を伝搬するとき、超音波ビームが広がることによる拡散損失の他に、結晶粒での散乱による散乱減衰や内部摩擦などによる粘性減衰がある。金属中では散乱減衰が主体であるが、プラスチックでは粘性減衰が主体となる。,金属中を超音波が伝搬するとき、その結晶粒界で屈折が起こり、超音波は次第に弱まる。これを拡散損失という。,試験体に超音波が入射するとき、探触子と探傷面との境界面で超音波の損失がある。これを反射損失という。,金属材料の結晶粒が大きいと超音波は透過しやすく、減衰は小さい。,a,金属では結晶粒があるので散乱減衰が主体であり、プラスチックでは結晶粒がないので粘性減衰が主体となる。
40,厚さ50mmの鋼板を、5C20Nの探触子で垂直探傷を行い、健全部でB₁＝75%、B₂＝15%の底面エコーを得た。拡散損失を0.4dB、探傷面での反射損失を1.5dB、底面での反射損失を0.2dBとすると、この鋼板の超音波の減衰係数は何dB/mmか。,0.12,0.14,0.24,0.28,a,減衰係数α＝{(B1/B2)－(拡散損失＋反射損失)}/(2×t)より計算すると約0.12dB/mmとなる。
41,両面を表面粗さ6μmRzの滑らかに仕上げた厚さ50mmの鋼板を、アクリル樹脂遅延材付探触子(5Z20N)を用いてB₁/B₂の測定を行ったところ、5.0dBの値を得た。この結果から鋼板の減衰係数を計算すると何dB/mmとなるか。鋼板とアクリル樹脂の接触部における反射損失を2.0dB/回とし、超音波ビームの広がりの影響は無視する。,0.03,0.05,0.06,0.10,a,減衰係数α＝{5.0－2.0}/(2×50)＝0.03dB/mmとなる。
42,厚さが500mmで25μmRzに仕上げ加工した鍛鋼品を探触子2Z28Nで探傷したところ、健全部においてB₁/B₂の値が12.5dBであった。この鍛鋼品の減衰係数を計算した結果、何dB/mmとなったか。探傷面での反射損失は3dB/回、底面での反射損失は1dB/回とする。,0.003,0.005,0.009,0.013,a,拡散損失6dBを考慮し、減衰係数α＝{12.5－(6.0+3.0+1.0)}/(2×500)＝0.0025dB/mm≒0.003dB/mmとなる。
43,次の文は、圧延鋼材の超音波横波における音響異方性の測定について述べたものである。正しいものを一つ選び、記号で答えよ。,試験体の圧延方向と圧延方向に直角な方向の音響異方性を測定するために、縦波垂直探触子とグリセリンペーストを用いる。,試験体の圧延方向と圧延方向に直角な方向の音響異方性を測定するために、横波垂直探触子と横波専用の接触媒質を用いる。,試験体の音響異方性の測定は、二振動子垂直探触子を用いて、音響隔離板が圧延方向及びそれに直角な方向で、厚さを測定し、マイクロメータで測定した値との比較で行う。,試験体の音響異方性の測定は、公称屈折角45度の斜角探触子2個を用いて、圧延方向及びそれに直角な方向で、V透過法を用いて行う。,b,試験体の圧延方向と圧延方向に直角な方向の音響異方性を測定するために、横波垂直探触子と横波専用の接触媒質を用いる。
44,次の文は、探傷面の粗さと超音波の伝達について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷面が粗い場合、試験周波数を高くすると伝達効率が良くなる。,一般に、表面の粗い試験体では伝達効率が低下する。この傾向は、保護膜を付けた探触子の方が保護膜を付けない探触子より著しくなる。,探傷面が粗い場合、ギャップ水浸法を適用すると直接接触法よりもエコー高さが安定する。,探傷面の粗い試験体を探傷する場合、伝達効率をよくするためには、マシン油のような音響インピーダンスの大きな接触媒質を使用する。,c,探傷面が粗い場合、局部水浸法や全没水浸法を適用すれば表面の影響は小さくなり、安定したエコーが得られる。
45,次の文は、超音波探傷に利用される波の種類について述べたものである。正しいものを一つ選び、記号で答えよ。,端部エコー法には、縦波がよく用いられる。,溶接部の内部きずの探傷には、横波がよく用いられる。,薄鋼板の介在物の探傷には、表面波がよく用いられる。,鍛鋼品の垂直探傷試験には、クリーピング波がよく用いられる。,b,溶接部の内部きずの探傷には、横波斜角探傷がよく用いられる。
46,次の文は、広帯域超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子から送信される超音波の周波数は、狭帯域探触子が送信する超音波の周波数より周波数帯域が広い。,広帯域探触子から送信される超音波の波数は、狭帯域探触子が送信する超音波の波数より多い。,送信する超音波の波数が少ない方が、周波数帯域が狭くなる。,超音波探触子の周波数特性を表すQ値は、周波数帯域幅を中心周波数で除したものである。,a,広帯域探触子は、1～2波振動の超音波パルスを送受信し、広い周波数帯域をもつ。
47,次の文は、溶接部の超音波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,開先面に沿った融合不良は、屈折角に関係なく高いエコー高さが得られる。,開先面の融合不良は、直射法で検出が困難であっても、一回反射法で検出できる場合がある。,エコー高さが高くて、受信されたエコーの波形がギザギザなのは、ブローホールである。,溶接部の割れのエコー高さは高いので、溶接ビードに直角に探傷すれば横割れでも十分に検出することができる。,b,開先面の融合不良は、直射法で検出が困難であっても、一回反射においては直角に近い角度で入射する場合もあり、検出できることがある。
48,垂直探傷できずが近距離音場内にある場合、このきずの位置が遠距離音場になるように探触子を変更したい。次のうちから正しいものを一つ選び、記号で答えよ。,周波数の高い探触子を用いて遠距離音場とする。,振動子直径の小さい探触子を用いて遠距離音場とする。,周波数の低いかつ、振動子直径の大きい探触子を用いて遠距離音場とする。,振動子直径の大きな探触子を用いて遠距離音場とする。,b,近距離音場限界距離X₀＝D²/4λであるため、振動子直径を小さくし、波長を大きく（周波数を下げる）すれば近距離音場限界距離は短くなる。
49,次の文は、垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答えよ。,底面エコー方式による感度調整は、減衰が少ない試験体にだけ適用できる。,底面エコー方式による感度調整は、試験体の探傷面と底面が平行でないと適用できない。,底面エコー方式による感度調整は、減衰の著しい試験体のとき、きずを過小評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さや減衰の影響を受けやすい。,b,底面エコー方式による感度調整は、試験体の探傷面と底面が平行でなくては適用できないが、探傷面の粗さの影響を受けにくい。減衰の著しい試験体ではきずを過大評価するおそれがある。
50,次の文は斜角探傷における屈折角について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷屈折角とは、試験体又は試験体から切り出した対比試験片を用いて、探傷方向において測定した屈折角のことをいう。,探傷屈折角とは、STB-A1又はSTB-A3を用いて測定した屈折角のことをいう。,STB屈折角とは、試験体又は試験体から切り出した対比試験片を用いて、探傷方向と同じ方向で測定した屈折角のことをいう。,STB屈折角とは、探触子の製造時に設計された公称屈折角のことをいう。,a,探傷屈折角は、試験体や対比試験片を使用して探傷方向と同じ方向で測定した屈折角である。
51,次の文は、透過法による超音波探傷試験について述べたものである。正しいものを一つ選び、記号で答えよ。,端部エコー法は、透過法の一種である。,透過法には、二振動子垂直探触子が使用される。,透過法は、送受二個の探触子を用いて探傷を行う。,透過法には、斜角探触子を用いることはできない。,c,透過法は、きずや試験体の組織による超音波の減衰から内部の状況を判断するもので、試験体の異なる表面で超音波を送受信することが多い。
